trade_num,id,ts,direction,grade,score,spot,paradigm,dd_shift_score,charm_score,time_score,paradigm_score,direction_score,outcome,pnl,max_profit,max_loss,target_level,stop_level,first_event,elapsed_min,vol_ts,vol_paradigm,vol_target,vol_lis,vol_charm,vol_dd_hedging,vol_dd_aggregated,vol_opt_volume,vol_spot_vol_corr,vol_current_price,vol_exposure_pts
1,118,2026-02-18 15:39:14.018737+00:00,short,LOG,0.0,6896.69,SIDIAL-MESSY,0,0,0,0,0,WIN,22.93,37.99,-11.37,6876.69,6873.76,target,248,2026-02-18 15:38:44.346648+00:00,SIDIAL-MESSY,,,-10767781,"$910,313,076",,,,6895.03,4320
2,120,2026-02-18 16:26:38.560211+00:00,short,LOG,0.0,6900.12,SIDIAL-MESSY,0,0,0,0,0,WIN,15.81,41.42,-7.94,6880.12,6884.31,target,177,2026-02-18 16:26:28.161061+00:00,SIDIAL-MESSY,,,-11231493,"$1,711,339,385",,,,6899.85,4320
3,121,2026-02-18 16:57:13.942395+00:00,short,LOG,0.0,6896.82,SIDIAL-MESSY,0,0,0,0,0,WIN,23.06,38.12,-11.24,6876.82,6873.76,target,170,2026-02-18 16:56:59.680093+00:00,SIDIAL-MESSY,,,-8058890,"$963,198,476",,,,6896.51,4320
4,122,2026-02-18 17:49:39.561547+00:00,short,LOG,0.0,6900.37,SIDIAL-MESSY,0,0,0,0,0,WIN,16.06,41.67,-7.69,6880.37,6884.31,target,94,2026-02-18 17:49:33.157973+00:00,SIDIAL-MESSY,,,-31907400,"$1,852,544,395",,,,6900.94,4320
5,126,2026-02-18 18:45:08.411026+00:00,long,LOG,0.0,6888.75,GEX-TARGET,0,0,0,0,0,LOSS,-12.0,2.23,-30.05,6908.75,6876.75,stop,50,2026-02-18 18:45:02.382927+00:00,GEX-TARGET,"$6,923",,78358673,"$-1,431,586,368",,,,6893.12,4320
6,131,2026-02-18 19:34:45.866892+00:00,long,A+,88.0,6877.36,BOFA-PURE,30,25,15,10,8,LOSS,-12.0,10.0,-18.66,6897.36,6865.36,stop,23,2026-02-18 19:34:43.947892+00:00,BOFA-PURE,,,272197277,"$-2,866,055,285",,,,6880.52,4320
7,132,2026-02-18 20:04:05.522807+00:00,long,A+,90.0,6870.72,GEX-LIS,30,22,15,15,8,LOSS,-12.0,16.64,-11.28,6890.72,6858.72,stop,19,2026-02-18 20:03:47.717995+00:00,GEX-LIS,"$6,877",,245209811,"$-1,616,084,204",,,,6867.22,4320
8,135,2026-02-19 15:04:19.516806+00:00,short,A-Entry,41.0,6878.3,SIDIAL-EXTREME,20,0,3,3,15,WIN,37.8,37.8,,,6840.55,target,235,2026-02-19 15:03:55.241270+00:00,SIDIAL-EXTREME,,,-10586624,"$-66,140,441",,,,6865.89,4292
9,138,2026-02-19 15:36:43.194692+00:00,short,A-Entry,36.0,6871.07,SIDIAL-EXTREME,10,0,8,3,15,WIN,30.5,30.5,,,6840.55,target,202,2026-02-19 15:36:39.111844+00:00,SIDIAL-EXTREME,,,-9732671,"$-471,272,048",,,,6872.04,4292
10,139,2026-02-19 15:52:13.165046+00:00,short,A-Entry,41.0,6860.9,SIDIAL-EXTREME,15,0,8,3,15,LOSS,-12.0,0.0,,,6872.9,stop,187,2026-02-19 15:52:00.245398+00:00,SIDIAL-EXTREME,,,-11875667,"$3,251,638,526",,,,6871.53,4292
11,142,2026-02-19 16:31:14.268680+00:00,short,A,60.0,6862.56,BofA-LIS,15,8,12,10,15,WIN,22.0,22.0,,,6840.55,target,148,2026-02-19 16:31:12.056503+00:00,BofA-LIS,,,-23818195,"$2,737,689,637",,,,6867.46,4292
12,144,2026-02-19 17:12:43.739689+00:00,short,A,57.0,6850.64,BOFA-PURE,20,0,12,10,15,EXPIRED,-6.93,15.09,-11.55,6830.64,6862.64,timeout,,2026-02-19 17:12:32.012375+00:00,BOFA-PURE,,,-9270068,"$802,946,024",,,,6848.56,4292
13,145,2026-02-19 17:41:36.477849+00:00,short,A+,75.0,6856.03,BOFA-PURE,30,8,12,10,15,WIN,15.5,15.5,,,6840.55,target,77,2026-02-19 17:41:13.047928+00:00,BOFA-PURE,,,-26375686,"$2,414,565,441",,,,6853.66,4292
14,146,2026-02-19 18:25:23.042393+00:00,short,A,67.0,6836.96,BOFA-PURE,30,0,12,10,15,LOSS,-12.0,0.0,,,6848.96,stop,33,2026-02-19 18:24:42.600562+00:00,BOFA-PURE,,,-9381616,"$635,260,489",,,,6840.78,4292
15,148,2026-02-19 19:02:50.934136+00:00,short,A+,85.0,6851.67,BOFA-PURE,30,15,15,10,15,EXPIRED,-5.9,13.06,-5.9,6831.67,6863.67,timeout,,2026-02-19 19:02:35.113239+00:00,BOFA-PURE,,,-91408691,"$709,154,455",,,,6854.53,4292
16,151,2026-02-19 19:43:20.638552+00:00,short,A,65.0,6839.5,BOFA-PURE,10,15,15,10,15,LOSS,-12.0,0.0,,,6851.5,stop,63,2026-02-19 19:43:17.708702+00:00,BOFA-PURE,,,-79238137,"$1,280,444,906",,,,6839.02,4292
17,152,2026-02-19 20:17:50.738568+00:00,short,A+,75.0,6844.64,BOFA-PURE,10,25,15,10,15,LOSS,-12.0,0.0,,,6856.64,stop,36,2026-02-19 20:17:37.724517+00:00,BOFA-PURE,,,-255102721,"$594,355,602",,,,6848.81,4292
18,154,2026-02-20 16:02:20.905797+00:00,short,A-Entry,53.0,6905.4,GEX-MESSY,10,15,8,5,15,WIN,23.0,23.0,,,6882.35,target,30,2026-02-20 16:02:11.065217+00:00,GEX-MESSY,"$6,939",,-52286346,"$1,923,981,372",,,,6904.14,4992
19,155,2026-02-20 16:07:45.581952+00:00,short,A,66.0,6901.9,GEX-MESSY,30,8,8,5,15,WIN,19.5,19.5,,,6882.35,target,24,2026-02-20 16:07:37.261733+00:00,GEX-MESSY,"$6,940",,-49471131,"$3,022,268,786",,,,6904.66,4992
20,158,2026-02-20 16:30:44.092323+00:00,long,A,63.0,6877.67,AG-TARGET,30,8,12,5,8,WIN,24.9,24.9,,,6902.56,target,30,2026-02-20 16:30:40.977012+00:00,AG-TARGET,"$6,885",,33878696,"$-3,971,824,309",,,,6881.38,4992
21,159,2026-02-20 16:39:52.821028+00:00,short,A,72.0,6896.84,AG-TARGET,30,0,12,15,15,WIN,31.3,31.3,,,6865.54,target,47,2026-02-20 16:39:45.562527+00:00,AG-TARGET,"$6,885",,-9817166,"$37,905,908",,,,6888.65,4992
22,160,2026-02-20 16:48:55.184368+00:00,short,A,72.0,6905.01,GEX-MESSY,25,15,12,5,15,WIN,39.5,39.5,,,6865.54,target,38,2026-02-20 16:48:33.830527+00:00,GEX-MESSY,"$6,945",,-65064705,"$3,795,901,442",,,,6903.8,4567
23,163,2026-02-20 16:55:57.771759+00:00,short,A+,77.0,6906.46,GEX-MESSY,30,15,12,5,15,WIN,40.9,40.9,,,6865.54,target,31,2026-02-20 16:55:37.646056+00:00,GEX-MESSY,"$6,946",,-65030915,"$4,038,903,792",,,,6906.56,4992
24,164,2026-02-20 17:10:56.869667+00:00,long,A,65.0,6885.36,GEX-PURE,30,0,12,15,8,LOSS,-12.0,0.0,,,6873.36,stop,4,2026-02-20 17:10:43.323563+00:00,GEX-PURE,"$6,899",,1803652,"$-1,959,740,037",,,,6892.54,4992
25,166,2026-02-20 17:29:18.562881+00:00,long,A,62.0,6863.63,BOFA-PURE,10,22,12,10,8,WIN,15.6,15.6,,,6879.24,target,18,2026-02-20 17:29:03.387969+00:00,BOFA-PURE,,,115419751,"$-5,292,509,397",,,,6862.31,4992
26,169,2026-02-20 17:57:09.173976+00:00,long,A,70.0,6888.13,AG-LIS,30,15,12,5,8,WIN,22.7,22.7,,,6910.8599,target,51,2026-02-20 17:56:43.294630+00:00,AG-LIS,"$6,889",,50414672,"$-1,783,181,487",,,,6891.31,4992
27,170,2026-02-20 18:01:30.633779+00:00,short,A,67.0,6892.15,AG-LIS,25,0,12,15,15,LOSS,-12.0,0.0,,,6904.15,stop,40,2026-02-20 18:01:29.616392+00:00,AG-LIS,"$6,890",,-6023907,"$-73,025,154",,,,6891.95,4992
28,171,2026-02-20 18:11:44.245995+00:00,long,A,65.0,6885.53,AG-LIS,25,15,12,5,8,WIN,25.3,25.3,,,6910.8599,target,37,2026-02-20 18:11:42.731299+00:00,AG-LIS,"$6,885",,62282786,"$-1,624,520,309",,,,6890.28,4992
29,172,2026-02-20 18:21:53.772803+00:00,long,A-Entry,50.0,6879.62,AG-LIS,10,15,12,5,8,WIN,17.2,17.2,,,6896.84,target,13,2026-02-20 18:21:24.198386+00:00,AG-LIS,"$6,883",,96132905,"$-3,510,192,084",,,,6882.16,4992
30,173,2026-02-20 18:30:55.014680+00:00,long,A-Entry,50.0,6881.14,AG-LIS,10,15,12,5,8,WIN,15.7,15.7,,,6896.84,target,4,2026-02-20 18:30:38.367019+00:00,AG-LIS,"$6,884",,99122960,"$-3,237,381,488",,,,6885.03,4992
31,174,2026-02-20 18:37:57.341504+00:00,short,A,70.0,6899.35,AG-LIS,20,8,12,15,15,LOSS,-12.0,0.0,,,6911.35,stop,8,2026-02-20 18:37:31.846267+00:00,AG-LIS,"$6,892",,-33032204,"$529,156,224",,,,6898.57,4992
32,176,2026-02-20 19:07:26.444054+00:00,short,A+,87.0,6905.8,AG-LIS,20,22,15,15,15,EXPIRED,-3.4,0.0,,,6917.8,timeout,112,2026-02-20 19:07:24.657118+00:00,AG-LIS,"$6,907",,-201216816,"$3,590,685,896",,,,6911.83,4992
33,177,2026-02-20 19:18:57.823478+00:00,short,A,70.0,6900.4,AG-LIS,10,15,15,15,15,EXPIRED,-8.8,0.0,,,6912.4,timeout,101,2026-02-20 19:18:35.878003+00:00,AG-LIS,"$6,894",,-74879023,"$3,537,952,108",,,,6902.57,4992
34,179,2026-02-20 19:50:57.741867+00:00,short,A,63.0,6897.65,AG-LIS,10,8,15,15,15,EXPIRED,-11.5,0.0,,,6909.65,timeout,69,2026-02-20 19:50:50.110114+00:00,AG-LIS,"$6,894",,-47164231,"$-65,435,995",,,,6897.99,4992
35,180,2026-02-20 19:59:36.084650+00:00,short,A,63.0,6897.92,AG-LIS,10,8,15,15,15,EXPIRED,-11.3,0.0,,,6909.92,timeout,60,2026-02-20 19:59:23.365616+00:00,AG-LIS,"$6,894",,-43317279,"$-159,123,638",,,,6898.72,4992
36,181,2026-02-20 20:11:18.107329+00:00,short,A+,80.0,6907.81,AG-LIS,10,25,15,15,15,EXPIRED,-1.4,0.0,,,6919.81,timeout,48,2026-02-20 20:11:02.120656+00:00,AG-LIS,"$6,894",,-262402354,"$2,934,991,738",,,,6908.11,4992
37,184,2026-02-23 15:09:17.879021+00:00,long,A-Entry,36.0,6869.11,AG-TARGET,20,0,3,5,8,LOSS,-12.0,0.61,-13.32,,6857.11,stop,26,2026-02-23 15:08:55.082770+00:00,AG-TARGET,"$6,864",,1944633,"$854,838,812",,,,6866.77,4202
38,186,2026-02-23 15:46:18.587191+00:00,long,A-Entry,41.0,6852.52,AG-TARGET,20,0,8,5,8,LOSS,-12.0,1.2,-12.02,,6840.52,stop,10,2026-02-23 15:46:08.592705+00:00,AG-TARGET,"$6,823",,19237279,"$433,088,765",,,,6855.05,4202
39,187,2026-02-23 16:04:47.767740+00:00,short,A-Entry,48.0,6825.35,AG-PURE,10,0,8,15,15,LOSS,-12.0,5.53,-12.72,,6837.35,stop,21,2026-02-23 16:04:39.127481+00:00,AG-PURE,"$6,788",,-5362299,"$-463,831,687",,,,6837.39,4202
40,188,2026-02-23 16:23:20.140606+00:00,long,A,59.0,6833.33,AG-PURE,30,8,8,5,8,WIN,17.1,22.05,-11.27,,6850.38,target,138,2026-02-23 16:23:13.064292+00:00,AG-PURE,"$6,785",,48548812,"$-1,731,992,368",,,,6832.43,4202
41,189,2026-02-23 16:49:24.059482+00:00,long,A-Entry,53.0,6836.73,AG-PURE,20,8,12,5,8,LOSS,-12.0,5.03,-12.54,,6824.73,stop,48,2026-02-23 16:48:59.654201+00:00,AG-PURE,"$6,780",,38164445,"$-1,243,168,218",,,,6841.54,4202
42,190,2026-02-23 16:58:38.893298+00:00,long,A-Entry,53.0,6836.06,AG-PURE,20,8,12,5,8,LOSS,-12.0,4.07,-12.71,,6824.06,stop,39,2026-02-23 16:58:24.458792+00:00,AG-PURE,"$6,779",,47419228,"$-1,506,894,702",,,,6838.23,4202
43,191,2026-02-23 17:39:30.766121+00:00,long,A,60.0,6824.2,AG-PURE,20,15,12,5,8,WIN,26.2,31.18,-2.14,,6850.38,target,61,2026-02-23 17:39:26.343942+00:00,AG-PURE,"$6,771",,63016421,"$-1,018,493,925",,,,6825.78,4202
44,192,2026-02-23 18:16:33.238122+00:00,long,A,55.0,6848.5,AG-LIS,30,0,12,5,8,LOSS,-12.0,6.88,-12.41,,6836.5,stop,42,2026-02-23 18:16:16.023724+00:00,AG-LIS,"$6,839",,8840770,"$-1,448,752,772",,,,6845.96,4202
45,193,2026-02-23 18:25:32.056837+00:00,short,A,67.0,6853.93,AG-LIS,25,0,12,15,15,WIN,26.4,31.37,-1.45,,6827.56,target,82,2026-02-23 18:25:28.305139+00:00,AG-LIS,"$6,837",,-7798906,"$1,203,603,546",,,,6852.59,4202
46,194,2026-02-23 18:58:01.405040+00:00,long,A-Entry,43.0,6837.44,AG-LIS,10,8,12,5,8,LOSS,-12.0,0.78,-12.21,,6825.44,stop,44,2026-02-23 18:57:41.922925+00:00,AG-LIS,"$6,835",,28638979,"$-717,747,981",,,,6842.19,4202
47,197,2026-02-23 19:37:00.867831+00:00,long,A+,78.0,6826.72,BOFA-PURE,30,15,15,10,8,EXPIRED,10.4,11.64,-4.16,,6814.72,timeout,82,2026-02-23 19:36:51.094437+00:00,BOFA-PURE,,,53414070,"$-205,884,327",,,,6830.87,4202
48,198,2026-02-23 20:07:02.273976+00:00,long,A,58.0,6827.31,BOFA-PURE,10,15,15,10,8,EXPIRED,9.8,11.05,-3.57,,6815.31,timeout,52,2026-02-23 20:06:46.353494+00:00,BOFA-PURE,,,62413874,"$-201,673,200",,,,6827.17,4202
49,199,2026-02-23 20:18:33.070457+00:00,short,A,70.0,6825.07,BOFA-PURE,30,0,15,10,15,LOSS,-12.0,0.89,-13.29,,6837.07,stop,15,2026-02-23 20:18:17.029048+00:00,BOFA-PURE,,,-2241623,"$1,010,171,794",,,,6826.96,4202
