Bar#,Time_ET,Open,High,Low,Close,Volume,Buy_Vol,Sell_Vol,Delta,CVD
1,09:30:00,6908.0,6911.75,6906.75,6911.75,3796,1607,2189,-582,-582
2,09:30:07,6911.75,6915.75,6910.75,6915.75,4132,1152,2980,-1828,-2410
3,09:30:17,6915.75,6919.75,6914.75,6919.75,2372,981,1391,-410,-2820
4,09:30:31,6919.75,6922.25,6917.25,6917.25,11601,5750,5851,-101,-2921
5,09:31:53,6917.25,6922.0,6917.0,6922.0,2801,1210,1591,-381,-3302
6,09:32:11,6922.0,6926.0,6921.0,6926.0,3332,1386,1946,-560,-3862
7,09:32:33,6926.0,6927.75,6922.75,6922.75,13636,6720,6916,-196,-4058
8,09:34:56,6922.75,6925.0,6920.0,6920.0,8232,4247,3985,262,-3796
9,09:36:17,6920.0,6923.75,6918.75,6923.75,3971,1935,2036,-101,-3897
10,09:37:08,6923.75,6924.25,6919.25,6924.25,2840,1425,1415,10,-3887
11,09:37:48,6924.25,6928.75,6923.75,6928.75,1575,597,978,-381,-4268
12,09:38:03,6928.75,6930.25,6925.25,6925.25,5169,2502,2667,-165,-4433
13,09:39:11,6925.25,6927.25,6922.25,6922.25,4014,2134,1880,254,-4179
14,09:40:05,6922.25,6923.75,6918.75,6918.75,3141,1842,1299,543,-3636
15,09:40:37,6918.75,6919.5,6914.5,6914.5,2465,1582,883,699,-2937
16,09:40:55,6914.5,6915.5,6910.5,6910.5,5585,3079,2506,573,-2364
17,09:41:46,6910.5,6910.75,6905.75,6905.75,3309,1825,1484,341,-2023
18,09:42:10,6905.75,6910.25,6905.25,6910.25,2760,1176,1584,-408,-2431
19,09:42:39,6910.25,6911.75,6906.75,6906.75,1749,804,945,-141,-2572
20,09:43:04,6906.75,6909.25,6904.25,6909.25,4852,2205,2647,-442,-3014
21,09:43:59,6909.25,6912.0,6907.0,6907.0,3286,1592,1694,-102,-3116
22,09:44:46,6907.0,6907.75,6902.75,6902.75,2092,1279,813,466,-2650
23,09:45:01,6902.75,6907.0,6902.0,6907.0,2081,956,1125,-169,-2819
24,09:45:13,6907.0,6908.25,6903.25,6903.25,3602,1785,1817,-32,-2851
25,09:45:56,6903.25,6905.0,6900.0,6905.0,2808,1451,1357,94,-2757
26,09:46:18,6905.0,6906.25,6901.25,6906.25,2209,1012,1197,-185,-2942
27,09:46:49,6906.25,6907.5,6902.5,6902.5,1926,977,949,28,-2914
28,09:47:13,6902.5,6907.5,6902.5,6907.5,1347,617,730,-113,-3027
29,09:47:33,6907.5,6908.75,6903.75,6903.75,3080,1487,1593,-106,-3133
30,09:48:19,6903.75,6905.25,6900.25,6900.25,5784,3001,2783,218,-2915
31,09:49:41,6900.25,6902.25,6897.25,6902.25,3594,1836,1758,78,-2837
32,09:50:08,6902.25,6906.25,6901.25,6906.25,1448,599,849,-250,-3087
33,09:50:26,6906.25,6907.5,6902.5,6907.5,1730,796,934,-138,-3225
34,09:50:50,6907.5,6911.25,6906.25,6906.25,5971,3032,2939,93,-3132
35,09:51:54,6906.25,6908.0,6903.0,6903.0,3081,1693,1388,305,-2827
36,09:52:29,6903.0,6906.25,6901.25,6901.25,4143,2093,2050,43,-2784
37,09:53:23,6901.25,6905.25,6900.25,6905.25,1502,664,838,-174,-2958
38,09:53:39,6905.25,6905.25,6900.25,6900.25,841,585,256,329,-2629
39,09:53:49,6900.25,6902.5,6897.5,6897.5,7442,3895,3547,348,-2281
40,09:55:27,6897.5,6899.75,6894.75,6894.75,6067,3029,3038,-9,-2290
41,09:56:36,6894.75,6899.25,6894.25,6899.25,3388,1456,1932,-476,-2766
42,09:57:12,6899.25,6900.5,6895.5,6895.5,2257,1163,1094,69,-2697
43,09:57:53,6895.5,6896.5,6891.5,6891.5,7820,4197,3623,574,-2123
44,10:00:06,6891.5,6894.75,6889.75,6894.75,6002,2907,3095,-188,-2311
45,10:01:03,6894.75,6898.75,6893.75,6898.75,1219,465,754,-289,-2600
46,10:01:13,6898.75,6902.0,6897.0,6897.0,3432,1524,1908,-384,-2984
47,10:01:50,6897.0,6899.0,6894.0,6894.0,4485,2176,2309,-133,-3117
48,10:03:00,6894.0,6898.5,6893.5,6898.5,1781,817,964,-147,-3264
49,10:03:19,6898.5,6899.0,6894.0,6894.0,1799,1009,790,219,-3045
50,10:03:42,6894.0,6894.75,6889.75,6889.75,4322,2534,1788,746,-2299
51,10:04:12,6889.75,6889.75,6884.75,6884.75,1497,1198,299,899,-1400
52,10:04:12,6884.75,6886.5,6881.5,6881.5,6686,3337,3349,-12,-1412
53,10:04:45,6881.5,6884.5,6879.5,6879.5,7513,3877,3636,241,-1171
54,10:05:47,6879.5,6883.5,6878.5,6883.5,4965,2231,2734,-503,-1674
55,10:06:34,6883.5,6886.75,6881.75,6881.75,8044,4061,3983,78,-1596
56,10:08:22,6881.75,6884.5,6879.5,6879.5,3873,1894,1979,-85,-1681
57,10:09:16,6879.5,6881.0,6876.0,6881.0,5209,2698,2511,187,-1494
58,10:10:03,6881.0,6884.75,6879.75,6884.75,3095,1510,1585,-75,-1569
59,10:10:49,6884.75,6886.25,6881.25,6881.25,3387,1793,1594,199,-1370
60,10:11:31,6881.25,6883.5,6878.5,6878.5,5397,2881,2516,365,-1005
61,10:12:26,6878.5,6880.75,6875.75,6875.75,5831,3371,2460,911,-94
62,10:13:43,6875.75,6879.5,6874.5,6879.5,18852,10271,8581,1690,1596
63,10:17:47,6879.5,6881.0,6876.0,6881.0,13557,7530,6027,1503,3099
64,10:20:45,6881.0,6883.5,6878.5,6883.5,3622,1572,2050,-478,2621
65,10:21:27,6883.5,6885.0,6880.0,6880.0,3237,1723,1514,209,2830
66,10:22:01,6880.0,6882.0,6877.0,6877.0,3634,2120,1514,606,3436
67,10:22:46,6877.0,6879.75,6874.75,6874.75,5731,3266,2465,801,4237
68,10:24:07,6874.75,6878.5,6873.5,6878.5,2011,1047,964,83,4320
69,10:24:22,6878.5,6880.75,6875.75,6875.75,4489,2172,2317,-145,4175
70,10:25:31,6875.75,6877.75,6872.75,6872.75,9099,4654,4445,209,4384
71,10:28:23,6872.75,6876.75,6871.75,6871.75,13875,7096,6779,317,4701
72,10:32:24,6871.75,6875.5,6870.5,6875.5,3031,1516,1515,1,4702
73,10:33:09,6875.5,6879.5,6874.5,6874.5,3487,1538,1949,-411,4291
74,10:33:51,6874.5,6875.5,6870.5,6870.5,2888,1742,1146,596,4887
75,10:34:33,6870.5,6870.75,6865.75,6865.75,7069,3862,3207,655,5542
76,10:36:17,6865.75,6870.5,6865.5,6870.5,3374,1432,1942,-510,5032
77,10:37:03,6870.5,6874.25,6869.25,6874.25,3841,1439,2402,-963,4069
78,10:37:51,6874.25,6874.5,6869.5,6869.5,2623,1410,1213,197,4266
79,10:38:36,6869.5,6872.0,6867.0,6867.0,10565,5233,5332,-99,4167
80,10:42:23,6867.0,6869.25,6864.25,6864.25,5202,2821,2381,440,4607
81,10:44:27,6864.25,6868.0,6863.0,6863.0,6607,3479,3128,351,4958
82,10:46:28,6863.0,6867.75,6862.75,6867.75,2852,1353,1499,-146,4812
83,10:47:12,6867.75,6868.75,6863.75,6863.75,12850,6750,6100,650,5462
84,10:52:04,6863.75,6864.0,6859.0,6859.0,3356,2257,1099,1158,6620
85,10:52:21,6859.0,6860.75,6855.75,6855.75,2601,1453,1148,305,6925
86,10:52:47,6855.75,6860.75,6855.75,6860.75,5281,2419,2862,-443,6482
87,10:53:50,6860.75,6861.75,6856.75,6856.75,4384,2468,1916,552,7034
88,10:55:03,6856.75,6857.5,6852.5,6852.5,18889,9127,9762,-635,6399
89,10:59:19,6852.5,6854.5,6849.5,6849.5,12259,6689,5570,1119,7518
90,11:01:40,6849.5,6851.5,6846.5,6846.5,7321,3993,3328,665,8183
91,11:02:59,6846.5,6847.75,6842.75,6842.75,5903,3154,2749,405,8588
92,11:03:50,6842.75,6843.75,6838.75,6838.75,4331,2535,1796,739,9327
93,11:04:29,6838.75,6842.5,6837.5,6842.5,3390,1510,1880,-370,8957
94,11:04:59,6842.5,6843.25,6838.25,6838.25,7001,3877,3124,753,9710
95,11:06:15,6838.25,6842.5,6837.5,6842.5,3254,1351,1903,-552,9158
96,11:06:43,6842.5,6843.25,6838.25,6838.25,8642,4583,4059,524,9682
97,11:08:29,6838.25,6841.25,6836.25,6841.25,6685,3219,3466,-247,9435
98,11:10:10,6841.25,6843.5,6838.5,6838.5,7179,3578,3601,-23,9412
99,11:11:34,6838.5,6840.75,6835.75,6835.75,3388,1925,1463,462,9874
100,11:12:19,6835.75,6839.0,6834.0,6834.0,13456,6888,6568,320,10194
101,11:15:56,6834.0,6837.75,6832.75,6837.75,5603,2868,2735,133,10327
102,11:17:18,6837.75,6841.0,6836.0,6841.0,2963,1380,1583,-203,10124
103,11:18:03,6841.0,6845.25,6840.25,6845.25,7673,3629,4044,-415,9709
104,11:19:46,6845.25,6848.75,6843.75,6848.75,5031,2371,2660,-289,9420
105,11:20:51,6848.75,6850.75,6845.75,6845.75,11109,5775,5334,441,9861
106,11:23:08,6845.75,6849.0,6844.0,6844.0,4026,2171,1855,316,10177
107,11:24:09,6844.0,6848.75,6843.75,6848.75,3134,1467,1667,-200,9977
108,11:25:08,6848.75,6853.5,6848.5,6853.5,6969,3088,3881,-793,9184
109,11:27:08,6853.5,6857.25,6852.25,6857.25,6401,2784,3617,-833,8351
110,11:29:02,6857.25,6860.25,6855.25,6855.25,11335,5637,5698,-61,8290
111,11:31:56,6855.25,6858.25,6853.25,6858.25,16456,8381,8075,306,8596
112,11:37:50,6858.25,6859.25,6854.25,6854.25,2510,1254,1256,-2,8594
113,11:38:57,6854.25,6856.5,6851.5,6856.5,11386,5795,5591,204,8798
114,11:43:54,6856.5,6857.0,6852.0,6852.0,3181,1634,1547,87,8885
115,11:45:35,6852.0,6855.25,6850.25,6850.25,2353,1247,1106,141,9026
116,11:46:36,6850.25,6852.25,6847.25,6852.25,8173,3920,4253,-333,8693
117,11:50:10,6852.25,6854.0,6849.0,6854.0,3649,1745,1904,-159,8534
118,11:51:40,6854.0,6855.5,6850.5,6850.5,6731,3518,3213,305,8839
119,11:54:49,6850.5,6852.5,6847.5,6847.5,7707,4059,3648,411,9250
120,11:59:01,6847.5,6852.25,6847.25,6852.25,3985,1764,2221,-457,8793
121,12:00:55,6852.25,6854.0,6849.0,6849.0,5557,2915,2642,273,9066
122,12:03:25,6849.0,6852.25,6847.25,6852.25,2833,1385,1448,-63,9003
123,12:05:13,6852.25,6854.0,6849.0,6854.0,2801,1316,1485,-169,8834
124,12:06:46,6854.0,6854.25,6849.25,6849.25,1153,601,552,49,8883
125,12:07:22,6849.25,6853.0,6848.0,6848.0,6057,2803,3254,-451,8432
126,12:11:25,6848.0,6850.75,6845.75,6845.75,4021,2132,1889,243,8675
127,12:14:27,6845.75,6850.25,6845.25,6850.25,3661,1664,1997,-333,8342
128,12:16:46,6850.25,6852.25,6847.25,6847.25,4210,2128,2082,46,8388
129,12:20:02,6847.25,6851.75,6846.75,6846.75,7119,3410,3709,-299,8089
130,12:26:12,6846.75,6850.0,6845.0,6845.0,4701,2421,2280,141,8230
131,12:30:22,6845.0,6846.5,6841.5,6841.5,7418,3945,3473,472,8702
132,12:35:08,6841.5,6842.5,6837.5,6837.5,3990,2213,1777,436,9138
133,12:37:02,6837.5,6840.0,6835.0,6840.0,10439,4863,5576,-713,8425
134,12:41:13,6840.0,6845.0,6840.0,6845.0,5915,2631,3284,-653,7772
135,12:43:30,6845.0,6846.25,6841.25,6841.25,2873,1600,1273,327,8099
136,12:44:55,6841.25,6844.75,6839.75,6839.75,4404,2103,2301,-198,7901
137,12:48:04,6839.75,6844.0,6839.0,6844.0,4051,1891,2160,-269,7632
138,12:51:01,6844.0,6846.5,6841.5,6846.5,3324,1570,1754,-184,7448
139,12:52:59,6846.5,6851.0,6846.0,6851.0,2597,958,1639,-681,6767
140,12:53:43,6851.0,6852.25,6847.25,6852.25,8714,4252,4462,-210,6557
141,12:57:55,6852.25,6852.75,6847.75,6847.75,2858,1609,1249,360,6917
142,12:59:23,6847.75,6852.0,6847.0,6852.0,2572,960,1612,-652,6265
143,13:00:23,6852.0,6856.25,6851.25,6856.25,10243,4794,5449,-655,5610
144,13:07:00,6856.25,6861.0,6856.0,6861.0,14596,6736,7860,-1124,4486
145,13:14:49,6861.0,6864.5,6859.5,6864.5,13196,6479,6717,-238,4248
146,13:22:15,6864.5,6869.25,6864.25,6869.25,12917,6069,6848,-779,3469
147,13:28:43,6869.25,6869.25,6864.25,6864.25,3515,2100,1415,685,4154
148,13:30:18,6864.25,6868.75,6863.75,6868.75,11198,5572,5626,-54,4100
149,13:37:00,6868.75,6868.75,6863.75,6863.75,3093,1743,1350,393,4493
150,13:39:12,6863.75,6865.25,6860.25,6860.25,6812,3749,3063,686,5179
151,13:43:36,6860.25,6862.5,6857.5,6862.5,7056,3478,3578,-100,5079
152,13:48:09,6862.5,6863.5,6858.5,6858.5,6974,3552,3422,130,5209
153,13:52:20,6858.5,6859.75,6854.75,6854.75,3099,1921,1178,743,5952
154,13:54:20,6854.75,6856.0,6851.0,6851.0,4141,2475,1666,809,6761
155,13:56:01,6851.0,6852.25,6847.25,6847.25,15489,7834,7655,179,6940
156,14:02:54,6847.25,6851.25,6846.25,6851.25,16811,7881,8930,-1049,5891
157,14:14:12,6851.25,6851.25,6846.25,6846.25,3746,2091,1655,436,6327
158,14:16:35,6846.25,6848.5,6843.5,6843.5,14429,7304,7125,179,6506
159,14:29:23,6843.5,6846.0,6841.0,6846.0,7915,3806,4109,-303,6203
160,14:33:19,6846.0,6846.25,6841.25,6841.25,2481,1454,1027,427,6630
161,14:35:11,6841.25,6842.25,6837.25,6837.25,11406,5671,5735,-64,6566
162,14:43:09,6837.25,6839.75,6834.75,6839.75,7154,3514,3640,-126,6440
163,14:46:25,6839.75,6844.25,6839.25,6844.25,5824,2625,3199,-574,5866
164,14:49:04,6844.25,6844.75,6839.75,6839.75,10166,5166,5000,166,6032
165,14:55:00,6839.75,6844.5,6839.5,6844.5,3200,1386,1814,-428,5604
166,14:56:48,6844.5,6844.75,6839.75,6839.75,4031,2064,1967,97,5701
167,14:59:20,6839.75,6843.75,6838.75,6843.75,3063,1492,1571,-79,5622
168,15:00:46,6843.75,6843.75,6838.75,6838.75,9055,4470,4585,-115,5507
169,15:07:02,6838.75,6840.75,6835.75,6840.75,13938,6502,7436,-934,4573
170,15:15:28,6840.75,6842.0,6837.0,6842.0,13595,6400,7195,-795,3778
171,15:26:17,6842.0,6845.25,6840.25,6845.25,7800,3272,4528,-1256,2522
172,15:30:03,6845.25,6849.25,6844.25,6849.25,3067,1126,1941,-815,1707
173,15:30:43,6849.25,6851.0,6846.0,6851.0,8060,3900,4160,-260,1447
174,15:33:38,6851.0,6852.0,6847.0,6847.0,5198,2904,2294,610,2057
175,15:35:44,6847.0,6848.75,6843.75,6843.75,11689,5894,5795,99,2156
176,15:42:13,6843.75,6846.0,6841.0,6846.0,5958,3033,2925,108,2264
177,15:44:46,6846.0,6848.25,6843.25,6848.25,8150,3963,4187,-224,2040
178,15:49:00,6848.25,6852.25,6847.25,6847.25,6678,3411,3267,144,2184
179,15:50:06,6847.25,6848.25,6843.25,6843.25,15613,8531,7082,1449,3633
180,15:52:21,6843.25,6844.0,6839.0,6839.0,9701,5696,4005,1691,5324
181,15:54:16,6839.0,6843.25,6838.25,6843.25,9428,4766,4662,104,5428
182,15:55:45,6843.25,6845.0,6840.0,6845.0,12014,6311,5703,608,6036
183,15:58:07,6845.0,6847.0,6842.0,6842.0,13369,7664,5705,1959,7995
184,15:59:14,6842.0,6846.75,6841.75,6846.75,6815,3198,3617,-419,7576
