id,trade_date,old_grade,old_score
337,2026-03-02,LOG,0.0
339,2026-03-02,LOG,0.0
343,2026-03-02,LOG,0.0
345,2026-03-02,LOG,0.0
350,2026-03-02,LOG,0.0
352,2026-03-02,LOG,0.0
356,2026-03-02,LOG,0.0
359,2026-03-02,LOG,0.0
363,2026-03-02,LOG,0.0
365,2026-03-02,A,75.0
367,2026-03-03,A-Entry,60.0
377,2026-03-03,B,46.0
384,2026-03-03,B,51.0
392,2026-03-03,A-Entry,62.0
400,2026-03-03,A-Entry,64.0
404,2026-03-03,A-Entry,62.0
408,2026-03-03,A-Entry,64.0
411,2026-03-03,B,47.0
414,2026-03-03,A-Entry,67.0
418,2026-03-03,B,50.0
420,2026-03-03,A-Entry,70.0
424,2026-03-03,A,75.0
426,2026-03-03,A-Entry,73.0
430,2026-03-04,C,36.0
435,2026-03-04,C,41.0
438,2026-03-04,C,36.0
441,2026-03-04,C,36.0
442,2026-03-04,B,46.0
447,2026-03-04,B,58.0
450,2026-03-04,B,47.0
454,2026-03-04,B,55.0
458,2026-03-04,B,47.0
459,2026-03-04,B,47.0
464,2026-03-04,A-Entry,62.0
467,2026-03-04,A-Entry,62.0
471,2026-03-04,A-Entry,62.0
473,2026-03-04,A-Entry,72.0
474,2026-03-04,A-Entry,72.0
477,2026-03-04,A-Entry,72.0
479,2026-03-05,C,33.0
484,2026-03-05,B,48.0
490,2026-03-05,C,43.0
495,2026-03-05,C,43.0
499,2026-03-05,C,42.0
504,2026-03-05,A-Entry,67.0
508,2026-03-05,B,47.0
511,2026-03-05,C,42.0
514,2026-03-05,B,57.0
519,2026-03-05,B,50.0
521,2026-03-05,B,45.0
525,2026-03-05,B,53.0
528,2026-03-05,A,77.0
533,2026-03-05,A,77.0
537,2026-03-05,A+,90.0
540,2026-03-06,B,59.0
547,2026-03-06,B,56.0
551,2026-03-06,B,59.0
556,2026-03-06,B,56.0
560,2026-03-06,A,77.0
565,2026-03-06,A-Entry,72.0
570,2026-03-06,A-Entry,69.0
574,2026-03-06,A,79.0
578,2026-03-06,A,80.0
582,2026-03-06,A,75.0
586,2026-03-06,A-Entry,70.0
591,2026-03-09,B,51.0
596,2026-03-09,B,58.0
597,2026-03-09,B,51.0
602,2026-03-09,B,53.0
604,2026-03-09,A-Entry,72.0
606,2026-03-09,A,84.0
608,2026-03-09,A-Entry,62.0
610,2026-03-09,A,84.0
613,2026-03-09,B,55.0
615,2026-03-09,B,53.0
617,2026-03-09,A-Entry,63.0
619,2026-03-09,A-Entry,65.0
621,2026-03-09,A,80.0
623,2026-03-10,B,48.0
624,2026-03-10,C,38.0
626,2026-03-10,B,54.0
627,2026-03-10,C,28.0
629,2026-03-10,B,58.0
634,2026-03-10,B,55.0
637,2026-03-10,A-Entry,65.0
642,2026-03-10,A-Entry,60.0
645,2026-03-10,A-Entry,67.0
647,2026-03-10,A-Entry,62.0
649,2026-03-10,A-Entry,60.0
654,2026-03-10,A,78.0
659,2026-03-10,A,75.0
661,2026-03-10,A-Entry,68.0
662,2026-03-10,A,85.0
667,2026-03-10,A-Entry,72.0
669,2026-03-10,A-Entry,60.0
671,2026-03-10,A,75.0
672,2026-03-11,B,46.0
677,2026-03-11,C,38.0
678,2026-03-11,C,38.0
681,2026-03-11,B,51.0
686,2026-03-11,B,53.0
691,2026-03-11,B,50.0
694,2026-03-11,B,45.0
696,2026-03-11,B,45.0
698,2026-03-11,B,50.0
701,2026-03-11,B,57.0
706,2026-03-11,A,75.0
708,2026-03-11,B,55.0
709,2026-03-11,A,80.0
712,2026-03-11,A,85.0
713,2026-03-11,A-Entry,70.0
716,2026-03-12,C,41.0
721,2026-03-12,C,41.0
726,2026-03-12,B,46.0
730,2026-03-12,B,53.0
733,2026-03-12,B,52.0
738,2026-03-12,B,57.0
740,2026-03-12,B,52.0
743,2026-03-12,A-Entry,65.0
747,2026-03-12,B,45.0
750,2026-03-12,B,50.0
753,2026-03-12,A-Entry,60.0
758,2026-03-12,A,80.0
760,2026-03-13,B,48.0
761,2026-03-13,B,51.0
767,2026-03-13,B,48.0
771,2026-03-13,A-Entry,65.0
775,2026-03-13,A-Entry,69.0
778,2026-03-13,A-Entry,69.0
781,2026-03-13,A-Entry,74.0
786,2026-03-13,A-Entry,64.0
789,2026-03-13,A-Entry,74.0
795,2026-03-13,A-Entry,64.0
800,2026-03-13,A-Entry,72.0
805,2026-03-13,B,53.0
808,2026-03-13,A-Entry,67.0
812,2026-03-13,A-Entry,72.0
813,2026-03-16,B,48.0
814,2026-03-16,C,41.0
819,2026-03-16,B,56.0
820,2026-03-16,C,38.0
822,2026-03-16,C,33.0
828,2026-03-16,C,37.0
831,2026-03-16,B,50.0
835,2026-03-16,B,57.0
837,2026-03-16,B,57.0
838,2026-03-16,B,52.0
842,2026-03-16,B,55.0
845,2026-03-16,B,45.0
848,2026-03-16,A-Entry,63.0
851,2026-03-16,A,80.0
853,2026-03-16,A,75.0
855,2026-03-16,A,85.0
856,2026-03-17,A-Entry,64.0
859,2026-03-17,B,46.0
861,2026-03-17,B,48.0
867,2026-03-17,B,46.0
869,2026-03-17,B,54.0
873,2026-03-17,B,45.0
879,2026-03-17,B,52.0
884,2026-03-17,A-Entry,67.0
887,2026-03-17,B,52.0
895,2026-03-17,B,48.0
900,2026-03-17,A-Entry,67.0
902,2026-03-17,A,80.0
904,2026-03-17,A-Entry,60.0
905,2026-03-17,A-Entry,70.0
907,2026-03-18,C,43.0
910,2026-03-18,C,28.0
911,2026-03-18,C,43.0
914,2026-03-18,C,43.0
917,2026-03-18,C,43.0
920,2026-03-18,B,47.0
922,2026-03-18,B,57.0
924,2026-03-18,B,47.0
926,2026-03-18,B,45.0
928,2026-03-18,C,42.0
929,2026-03-18,B,47.0
931,2026-03-18,B,45.0
934,2026-03-18,B,53.0
936,2026-03-18,B,45.0
944,2026-03-18,B,50.0
947,2026-03-18,A,85.0
952,2026-03-19,B,53.0
956,2026-03-19,C,43.0
959,2026-03-19,B,58.0
961,2026-03-19,B,51.0
966,2026-03-19,B,45.0
971,2026-03-19,B,55.0
973,2026-03-19,B,57.0
975,2026-03-19,B,47.0
978,2026-03-19,B,50.0
980,2026-03-19,B,57.0
982,2026-03-19,A-Entry,72.0
983,2026-03-19,B,50.0
986,2026-03-19,A,87.0
988,2026-03-19,A,80.0
992,2026-03-19,A+,95.0
995,2026-03-20,B,55.0
999,2026-03-20,C,43.0
1001,2026-03-20,B,55.0
1005,2026-03-20,B,55.0
1009,2026-03-20,A-Entry,64.0
1012,2026-03-20,A-Entry,64.0
1015,2026-03-20,A-Entry,69.0
1017,2026-03-20,B,59.0
1020,2026-03-20,A-Entry,67.0
1028,2026-03-20,A+,95.0
1030,2026-03-20,A,85.0
1035,2026-03-20,A+,95.0
1038,2026-03-23,A,70.0
1043,2026-03-23,B,59.0
1046,2026-03-23,B,55.0
1076,2026-03-23,A,75.0
1082,2026-03-23,C,38.0
1095,2026-03-23,A,68.0
1105,2026-03-23,B,55.0
1118,2026-03-23,C,41.0
1122,2026-03-23,B,50.0
1133,2026-03-23,B,53.0
